model,model_id,pooling_strategy,language,category,category_text,emotion,condition,condition_emotion,emotion_strategy,emotion_terms,condition_emotion_terms,neutral_strategy,neutral_terms,candidate,candidate_category,rank,cosine_similarity,projection_on_emotion_direction,same_category,candidate_identical_to_category,candidate_contains_emotion,average_similarity_top_k,average_projection_top_k,category_retention_at_k,direction_norm,query_norm
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,rotten food,food,1,0.5154639482498169,0.05849234014749527,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,comfort food,food,2,0.506831169128418,0.009674016386270523,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,hospital food,food,3,0.5002037286758423,0.011631312780082226,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,burnt dinner,food,4,0.49644148349761963,0.09033236652612686,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,salad,food,5,0.48945140838623047,0.014344941824674606,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,street snack,food,6,0.47778576612472534,0.0012590510305017233,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,cheese,food,7,0.47370558977127075,-0.0014749523252248764,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,bread,food,8,0.4671221971511841,-0.02262633480131626,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,sweet dessert,food,9,0.4661734104156494,0.02615862712264061,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,single_word,sadness,sadness,neutral_centroid,neutral; ordinary; plain; average,raw meat,food,10,0.461847186088562,-0.0074513498693704605,True,False,False,0.4855025887489319,0.01803400188218802,1.0,0.7933716177940369,1.0
