model,language,category,emotion,emotion_strategy,neutral_strategy,bootstrap_iteration,sampled_emotion_terms,sampled_neutral_terms,direction_cosine_to_reference,top_k_jaccard_to_reference,average_similarity_top_k
gemini,en,food,sadness,single_word,neutral_centroid,1,sadness,neutral; average; plain; average,0.959996223449707,1.0,0.4827216982841492
gemini,en,food,sadness,single_word,neutral_centroid,2,sadness,ordinary; average; plain; plain,0.9629464149475098,1.0,0.48338097631931304
gemini,en,food,sadness,single_word,neutral_centroid,3,sadness,average; average; neutral; ordinary,0.9550362825393677,1.0,0.4894816905260086
gemini,en,food,sadness,single_word,neutral_centroid,4,sadness,ordinary; average; plain; average,0.9542580246925354,1.0,0.4852348864078522
gemini,en,food,sadness,single_word,neutral_centroid,5,sadness,plain; ordinary; average; average,0.9542580246925354,1.0,0.48523484766483305
gemini,en,food,sadness,single_word,neutral_centroid,6,sadness,neutral; ordinary; ordinary; ordinary,0.9060878753662109,0.8181818181818182,0.5024270325899124
gemini,en,food,sadness,single_word,neutral_centroid,7,sadness,neutral; plain; ordinary; average,1.0,1.0,0.48550258576869965
gemini,en,food,sadness,single_word,neutral_centroid,8,sadness,neutral; neutral; plain; ordinary,0.9545761942863464,1.0,0.4912619858980179
gemini,en,food,sadness,single_word,neutral_centroid,9,sadness,ordinary; neutral; plain; ordinary,0.9596256017684937,1.0,0.49304757118225095
gemini,en,food,sadness,single_word,neutral_centroid,10,sadness,ordinary; ordinary; average; ordinary,0.8972052335739136,1.0,0.4999474883079529
gemini,en,food,sadness,single_word,neutral_centroid,11,sadness,average; ordinary; plain; neutral,1.0,1.0,0.4855025917291641
gemini,en,food,sadness,single_word,neutral_centroid,12,sadness,neutral; plain; neutral; average,0.9581888914108276,0.8181818181818182,0.48613721430301665
gemini,en,food,sadness,single_word,neutral_centroid,13,sadness,ordinary; ordinary; average; average,0.9167860150337219,1.0,0.49400371611118316
gemini,en,food,sadness,single_word,neutral_centroid,14,sadness,neutral; plain; neutral; neutral,0.8849537968635559,0.8181818181818182,0.4952873408794403
gemini,en,food,sadness,single_word,neutral_centroid,15,sadness,ordinary; ordinary; neutral; average,0.9657294750213623,1.0,0.4940536946058273
gemini,en,food,sadness,single_word,neutral_centroid,16,sadness,plain; average; plain; average,0.9349079728126526,1.0,0.48056799471378325
gemini,en,food,sadness,single_word,neutral_centroid,17,sadness,ordinary; plain; plain; ordinary,0.9218958020210266,1.0,0.49115577936172483
gemini,en,food,sadness,single_word,neutral_centroid,18,sadness,ordinary; plain; ordinary; average,0.9575047492980957,1.0,0.49011535942554474
gemini,en,food,sadness,single_word,neutral_centroid,19,sadness,ordinary; neutral; plain; ordinary,0.9596256017684937,1.0,0.49304757118225095
gemini,en,food,sadness,single_word,neutral_centroid,20,sadness,neutral; average; average; neutral,0.9205306172370911,0.8181818181818182,0.49082404375076294
gemini,en,food,sadness,single_word,neutral_centroid,21,sadness,plain; ordinary; plain; plain,0.8996462821960449,1.0,0.4870754897594452
gemini,en,food,sadness,single_word,neutral_centroid,22,sadness,ordinary; ordinary; average; neutral,0.9657294750213623,1.0,0.4940537095069885
