model,model_id,pooling_strategy,language,category,category_text,emotion,condition,condition_emotion,emotion_strategy,emotion_terms,condition_emotion_terms,neutral_strategy,neutral_terms,candidate,candidate_category,rank,cosine_similarity,projection_on_emotion_direction,same_category,candidate_identical_to_category,candidate_contains_emotion,average_similarity_top_k,average_projection_top_k,category_retention_at_k,direction_norm,query_norm
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,comfort food,food,1,0.5731105804443359,0.07221204042434692,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,rotten food,food,2,0.5601282715797424,0.08959408849477768,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,hospital food,food,3,0.5361486077308655,0.02575366385281086,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,burnt dinner,food,4,0.533647358417511,0.11184744536876678,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,salad,food,5,0.5068517923355103,-0.0009536369470879436,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,street snack,food,6,0.497700959444046,-0.010764801874756813,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,cheese,food,7,0.4962458610534668,-0.00943087600171566,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,spoiled milk,food,8,0.49247512221336365,0.05907148867845535,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,sour yogurt,food,9,0.48820289969444275,0.07997527718544006,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,emotion,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,bread,food,10,0.4873489439487457,-0.035649463534355164,True,False,False,0.517186039686203,0.03816552256466821,1.0,0.7430517077445984,1.0
gemini,models/gemini-embedding-001,,en,food,food,sadness,identity,sadness,centroid_phrases,feeling sad; feeling sorrowful; feeling gloomy,feeling sad; feeling sorrowful; feeling gloomy,neutral_centroid,neutral; ordinary; plain; average,comfort food,food,1,0.6957323551177979,0.07221204042434692,True,False,False,0.6713498294353485,0.0025680678081698716,1.0,0.0,1.0
