language,category,emotion,condition,emotion_strategy,neutral_strategy,model_a,model_b,top_k,overlap_count,jaccard_top_k,overlap_coefficient_top_k,rank_correlation_union,mean_abs_rank_delta_shared,shared_candidates
en,food,amusement,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.33652312599681017,1.0,comfort food; fresh fruit; hospital food; rotten food
en,food,amusement,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,-0.025837320574162676,3.5,comfort food; greasy leftovers; hospital food; restaurant meal
en,food,amusement,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.4317124735729386,1.5,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,amusement,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3309090909090907,3.0,bread; comfort food; hospital food; salad; sweet dessert
en,food,amusement,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.419873150105708,1.3333333333333333,bread; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,amusement,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.0945454545454545,2.8,bread; comfort food; greasy leftovers; hospital food; restaurant meal
en,food,amusement,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,amusement,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,amusement,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,amusement,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,amusement,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,amusement,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,amusement,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,-0.14841437632135307,3.5,comfort food; hospital food; raw meat; rotten food; salad; street snack
en,food,amusement,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,0.048579545454545466,2.6666666666666665,comfort food; hospital food; rotten food
en,food,amusement,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.1120507399577167,2.3333333333333335,cake; comfort food; hospital food; rotten food; salad; street snack
en,food,amusement,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.4163636363636362,0.4,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,amusement,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.5410658307210029,2.375,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; salad; street snack
en,food,amusement,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.4436363636363636,2.0,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.20382775119617225,2.25,comfort food; fresh fruit; hospital food; rotten food
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,-0.06666666666666667,3.0,comfort food; greasy leftovers; hospital food; restaurant meal
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.49818181818181817,1.6,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3309090909090909,3.4,bread; comfort food; hospital food; raw meat; warm bread
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.36067653276955597,1.0,bread; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,amusement,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.14363636363636365,2.2,bread; comfort food; hospital food; restaurant meal; spicy curry
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.2690909090909091,1.4,comfort food; fresh fruit; hospital food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.12181818181818181,3.0,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.3251585623678647,1.8333333333333333,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.05767045454545451,1.6666666666666667,comfort food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.5666666666666667,0.8571428571428571,bread; burnt dinner; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1327272727272727,4.0,comfort food; greasy leftovers; restaurant meal; rotten food; spicy curry
