language,category,emotion,condition,emotion_strategy,neutral_strategy,model_a,model_b,top_k,overlap_count,jaccard_top_k,overlap_coefficient_top_k,rank_correlation_union,mean_abs_rank_delta_shared,shared_candidates
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.2690909090909091,1.4,comfort food; fresh fruit; hospital food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.12181818181818181,3.0,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.3251585623678647,1.8333333333333333,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.05767045454545451,1.6666666666666667,comfort food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.5666666666666667,0.8571428571428571,bread; burnt dinner; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1327272727272727,4.0,comfort food; greasy leftovers; restaurant meal; rotten food; spicy curry
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,anger,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,anger,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.21268498942917544,2.3333333333333335,comfort food; fresh fruit; hospital food; raw meat; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.28545454545454535,2.4,comfort food; hospital food; raw meat; rotten food; sour yogurt
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.050909090909090925,2.8,comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,6,0.42857142857142855,0.6,0.17124735729386892,2.3333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.7968652037617553,1.75,bread; cheese; comfort food; fresh fruit; hospital food; restaurant meal; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.0003189792663476874,3.0,comfort food; hospital food; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.3059011164274322,0.0,comfort food; hospital food; rotten food; sour yogurt
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.11706539074960126,3.25,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5441860465116277,0.6666666666666666,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.26570972886762356,2.5,bread; comfort food; rotten food; salad
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5737843551797038,0.8333333333333334,bread; burnt dinner; comfort food; hospital food; rotten food; street snack
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.04101479915433407,3.0,bread; comfort food; greasy leftovers; restaurant meal; rotten food; stale bread
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.290909090909091,1.0,bitter medicine; comfort food; greasy leftovers; hospital food; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.21403508771929824,2.5,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.43272727272727274,2.4,comfort food; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.14363636363636365,3.6,comfort food; greasy leftovers; raw meat; rotten food; spoiled milk
en,food,disgust,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.6463949843260189,1.75,burnt dinner; comfort food; dirty plate; greasy leftovers; hospital food; raw meat; rotten food; spoiled milk
en,food,disgust,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.4257928118393235,2.1666666666666665,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food; spoiled milk
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,disgust,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,-0.02545454545454546,3.8,comfort food; hospital food; raw meat; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.6420454545454545,3.0,home-cooked soup; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.19272727272727266,2.4,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3745454545454545,1.2,bread; restaurant meal; rotten food; salad; warm bread
en,food,disgust,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.26004228329809725,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.41881977671451354,4.25,bread; greasy leftovers; restaurant meal; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.22424242424242424,2.75,comfort food; fresh fruit; hospital food; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.0781818181818182,2.0,comfort food; greasy leftovers; hospital food; restaurant meal; sour yogurt
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.4545454545454545,1.8,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.005422647527910685,3.25,comfort food; hospital food; sweet dessert; warm bread
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5086680761099365,1.5,comfort food; fresh fruit; hospital food; rotten food; street snack; sweet dessert
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.10545454545454541,2.6,bread; comfort food; hospital food; restaurant meal; sweet dessert
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.22424242424242424,2.75,comfort food; fresh fruit; hospital food; rotten food
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.0781818181818182,2.0,comfort food; greasy leftovers; hospital food; restaurant meal; sour yogurt
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.4545454545454545,1.8,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,joy,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.005422647527910685,3.25,comfort food; hospital food; sweet dessert; warm bread
en,food,joy,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5086680761099365,1.5,comfort food; fresh fruit; hospital food; rotten food; street snack; sweet dessert
en,food,joy,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.10545454545454541,2.6,bread; comfort food; hospital food; restaurant meal; sweet dessert
en,food,joy,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,joy,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,joy,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,joy,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,joy,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,joy,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,joy,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,-0.25999999999999995,4.6,comfort food; hospital food; mold; restaurant meal; rotten food
en,food,joy,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.01818181818181819,4.0,comfort food; hospital food; restaurant meal; rotten food; sweet dessert
en,food,joy,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.20363636363636362,2.4,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,joy,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,6,0.42857142857142855,0.6,-0.012262156448202945,4.166666666666667,bread; comfort food; hospital food; restaurant meal; rotten food; salad
en,food,joy,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.06767676767676767,3.4285714285714284,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,joy,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.5745454545454544,1.4,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.2690909090909091,1.4,comfort food; fresh fruit; hospital food; raw meat; rotten food
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.12181818181818181,3.0,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.3251585623678647,1.8333333333333333,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.05767045454545451,1.6666666666666667,comfort food; raw meat; rotten food
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.5666666666666667,0.8571428571428571,bread; burnt dinner; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,joy,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1327272727272727,4.0,comfort food; greasy leftovers; restaurant meal; rotten food; spicy curry
en,food,sadness,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.3059011164274322,0.0,comfort food; hospital food; rotten food; sour yogurt
en,food,sadness,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.11706539074960126,3.25,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,sadness,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5441860465116277,0.6666666666666666,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,sadness,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.26570972886762356,2.5,bread; comfort food; rotten food; salad
en,food,sadness,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5737843551797038,0.8333333333333334,bread; burnt dinner; comfort food; hospital food; rotten food; street snack
en,food,sadness,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.04101479915433407,3.0,bread; comfort food; greasy leftovers; restaurant meal; rotten food; stale bread
en,food,sadness,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,sadness,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,sadness,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,sadness,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,sadness,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,sadness,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,sadness,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,-0.01818181818181813,2.3333333333333335,comfort food; fresh fruit; hospital food; raw meat; restaurant meal; salad
en,food,sadness,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,-0.04625199362041466,4.5,comfort food; hospital food; restaurant meal; rotten food
en,food,sadness,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1927272727272726,2.8,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,sadness,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.22727272727272724,3.8,bread; cheese; comfort food; hospital food; restaurant meal
en,food,sadness,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.23838383838383845,1.5714285714285714,bread; cheese; comfort food; fresh fruit; hospital food; restaurant meal; street snack
en,food,sadness,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,-0.012262156448202948,3.6666666666666665,bread; cheese; comfort food; hospital food; restaurant meal; rotten food
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.290909090909091,1.0,bitter medicine; comfort food; greasy leftovers; hospital food; rotten food
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.21403508771929824,2.5,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.43272727272727274,2.4,comfort food; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.14363636363636365,3.6,comfort food; greasy leftovers; raw meat; rotten food; spoiled milk
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.6463949843260189,1.75,burnt dinner; comfort food; dirty plate; greasy leftovers; hospital food; raw meat; rotten food; spoiled milk
en,food,sadness,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.4257928118393235,2.1666666666666665,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food; spoiled milk
en,object,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,-0.19999999999999993,3.4,dirty towel; locked door; photograph; ring; warning sign
en,object,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,-0.38819776714513554,2.75,dirty towel; love letter; photograph; ring
en,object,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,3,0.17647058823529413,0.3,-0.6082386363636364,1.6666666666666667,old shoe; ring; warning sign
en,object,anger,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.08708133971291866,2.75,dirty towel; photograph; ring; toy
en,object,anger,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,4,0.25,0.4,-0.30143540669856456,4.0,broken glass; ring; toy; warning sign
en,object,anger,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.5208931419457735,3.0,flower; mirror; ring; toy
en,object,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,7,0.5384615384615384,0.7,0.04141414141414141,2.7142857142857144,blanket; lamp; mirror; phone; ring; table; toy
