language,category,emotion,condition,emotion_strategy,neutral_strategy,model_a,model_b,top_k,overlap_count,jaccard_top_k,overlap_coefficient_top_k,rank_correlation_union,mean_abs_rank_delta_shared,shared_candidates
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.2690909090909091,1.4,comfort food; fresh fruit; hospital food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.12181818181818181,3.0,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.3251585623678647,1.8333333333333333,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.05767045454545451,1.6666666666666667,comfort food; raw meat; rotten food
en,food,anger,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.5666666666666667,0.8571428571428571,bread; burnt dinner; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1327272727272727,4.0,comfort food; greasy leftovers; restaurant meal; rotten food; spicy curry
en,food,anger,emotion,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.035406698564593296,3.0,comfort food; hospital food; rotten food; salad
en,food,anger,emotion,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.40539772727272716,4.0,comfort food; rotten food; salad
en,food,anger,emotion,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,3,0.17647058823529413,0.3,0.2803977272727274,1.0,comfort food; hospital food; rotten food
en,food,anger,emotion,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.31674641148325355,2.5,comfort food; raw meat; rotten food; salad
en,food,anger,emotion,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.4287878787878788,2.142857142857143,bread; burnt dinner; cheese; comfort food; hospital food; rotten food; spoiled milk
en,food,anger,emotion,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,3,0.17647058823529413,0.3,-0.3957386363636364,6.0,comfort food; restaurant meal; rotten food
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,anger,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,anger,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,anger,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,identity,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,identity,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,anger,identity,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,identity,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,anger,identity,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,anger,identity,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.21268498942917544,2.3333333333333335,comfort food; fresh fruit; hospital food; raw meat; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.28545454545454535,2.4,comfort food; hospital food; raw meat; rotten food; sour yogurt
en,food,anger,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.050909090909090925,2.8,comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,6,0.42857142857142855,0.6,0.17124735729386892,2.3333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.7968652037617553,1.75,bread; cheese; comfort food; fresh fruit; hospital food; restaurant meal; rotten food; street snack
en,food,anger,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.0003189792663476874,3.0,comfort food; hospital food; restaurant meal; rotten food
en,food,anger,random,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.21268498942917544,2.3333333333333335,comfort food; fresh fruit; hospital food; raw meat; rotten food; street snack
en,food,anger,random,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.28545454545454535,2.4,comfort food; hospital food; raw meat; rotten food; sour yogurt
en,food,anger,random,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.050909090909090925,2.8,comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,anger,random,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,6,0.42857142857142855,0.6,0.17124735729386892,2.3333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,anger,random,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.7968652037617553,1.75,bread; cheese; comfort food; fresh fruit; hospital food; restaurant meal; rotten food; street snack
en,food,anger,random,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.0003189792663476874,3.0,comfort food; hospital food; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.3059011164274322,0.0,comfort food; hospital food; rotten food; sour yogurt
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.11706539074960126,3.25,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5441860465116277,0.6666666666666666,comfort food; fresh fruit; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.26570972886762356,2.5,bread; comfort food; rotten food; salad
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5737843551797038,0.8333333333333334,bread; burnt dinner; comfort food; hospital food; rotten food; street snack
en,food,anger,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.04101479915433407,3.0,bread; comfort food; greasy leftovers; restaurant meal; rotten food; stale bread
en,food,anger,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.46411483253588515,0.5,comfort food; hospital food; rotten food; salad
en,food,anger,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,0.14517045454545455,0.3333333333333333,comfort food; rotten food; salad
en,food,anger,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,3,0.17647058823529413,0.3,0.3238636363636364,0.0,comfort food; hospital food; rotten food
en,food,anger,shuffled_emotion,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.14363636363636362,1.4,bread; comfort food; rotten food; salad; sweet dessert
en,food,anger,shuffled_emotion,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.6651515151515152,1.2857142857142858,bread; burnt dinner; cheese; comfort food; hospital food; rotten food; street snack
en,food,anger,shuffled_emotion,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.1818181818181818,1.6,bread; comfort food; greasy leftovers; rotten food; stale bread
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.290909090909091,1.0,bitter medicine; comfort food; greasy leftovers; hospital food; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,4,0.25,0.4,0.21403508771929824,2.5,comfort food; greasy leftovers; restaurant meal; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.43272727272727274,2.4,comfort food; greasy leftovers; hospital food; restaurant meal; rotten food
en,food,disgust,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.14363636363636365,3.6,comfort food; greasy leftovers; raw meat; rotten food; spoiled milk
en,food,disgust,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,8,0.6666666666666666,0.8,0.6463949843260189,1.75,burnt dinner; comfort food; dirty plate; greasy leftovers; hospital food; raw meat; rotten food; spoiled milk
en,food,disgust,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.4257928118393235,2.1666666666666665,comfort food; greasy leftovers; raw meat; restaurant meal; rotten food; spoiled milk
en,food,disgust,emotion,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.17830940988835722,1.75,comfort food; hospital food; rotten food; salad
en,food,disgust,emotion,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.20255681818181812,4.666666666666667,comfort food; hospital food; rotten food
en,food,disgust,emotion,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,4,0.25,0.4,0.21913875598086122,1.5,comfort food; hospital food; rotten food; worms
en,food,disgust,emotion,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.029090909090909108,2.6,comfort food; hospital food; raw meat; rotten food; spoiled milk
en,food,disgust,emotion,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.2659619450317124,1.3333333333333333,burnt dinner; comfort food; dirty plate; hospital food; rotten food; spoiled milk
en,food,disgust,emotion,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.2837209302325582,2.8333333333333335,comfort food; greasy leftovers; hospital food; restaurant meal; rotten food; spoiled milk
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,disgust,identity,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,identity,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,disgust,identity,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,identity,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,identity,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,6,0.42857142857142855,0.6,0.15940803382663846,2.8333333333333335,comfort food; hospital food; raw meat; restaurant meal; rotten food; salad
en,food,disgust,identity,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3090909090909091,4.8,comfort food; hospital food; restaurant meal; rotten food; salad
en,food,disgust,identity,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.15999999999999998,2.4,cake; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,identity,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,7,0.5384615384615384,0.7,0.23181818181818184,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; salad; warm bread
en,food,disgust,identity,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.7308080808080808,1.1428571428571428,bread; cheese; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,identity,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.2854545454545454,2.6,bread; comfort food; hospital food; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,-0.02545454545454546,3.8,comfort food; hospital food; raw meat; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.6420454545454545,3.0,home-cooked soup; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.19272727272727266,2.4,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,disgust,random,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3745454545454545,1.2,bread; restaurant meal; rotten food; salad; warm bread
en,food,disgust,random,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.26004228329809725,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,random,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.41881977671451354,4.25,bread; greasy leftovers; restaurant meal; rotten food
en,food,disgust,random,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,-0.02545454545454546,3.8,comfort food; hospital food; raw meat; restaurant meal; rotten food
en,food,disgust,random,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.6420454545454545,3.0,home-cooked soup; restaurant meal; rotten food
en,food,disgust,random,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.19272727272727266,2.4,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,disgust,random,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,5,0.3333333333333333,0.5,-0.3745454545454545,1.2,bread; restaurant meal; rotten food; salad; warm bread
en,food,disgust,random,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.26004228329809725,3.0,bread; comfort food; hospital food; restaurant meal; rotten food; street snack
en,food,disgust,random,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,4,0.25,0.4,-0.41881977671451354,4.25,bread; greasy leftovers; restaurant meal; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.22424242424242424,2.75,comfort food; fresh fruit; hospital food; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.0781818181818182,2.0,comfort food; greasy leftovers; hospital food; restaurant meal; sour yogurt
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.4545454545454545,1.8,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.005422647527910685,3.25,comfort food; hospital food; sweet dessert; warm bread
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5086680761099365,1.5,comfort food; fresh fruit; hospital food; rotten food; street snack; sweet dessert
en,food,disgust,shuffled_emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.10545454545454541,2.6,bread; comfort food; hospital food; restaurant meal; sweet dessert
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.12181818181818185,1.6,coffee; comfort food; hospital food; rotten food; salad
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.1784090909090909,1.0,comfort food; hospital food; salad
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,4,0.25,0.4,0.35693779904306216,1.5,cake; comfort food; hospital food; rotten food
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.1832386363636363,1.3333333333333333,comfort food; hospital food; salad
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.2580808080808082,3.2857142857142856,bread; cheese; comfort food; fresh fruit; hospital food; rotten food; street snack
en,food,disgust,shuffled_emotion,single_word,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,3,0.17647058823529413,0.3,0.05823863636363637,2.6666666666666665,comfort food; hospital food; restaurant meal
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,gemini,10,4,0.25,0.4,0.22424242424242424,2.75,comfort food; fresh fruit; hospital food; rotten food
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,5,0.3333333333333333,0.5,0.0781818181818182,2.0,comfort food; greasy leftovers; hospital food; restaurant meal; sour yogurt
en,food,joy,emotion,centroid_phrases,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.4545454545454545,1.8,comfort food; fresh fruit; hospital food; restaurant meal; rotten food
en,food,joy,emotion,centroid_phrases,neutral_centroid,gemini,mmlw_roberta_large,10,4,0.25,0.4,-0.005422647527910685,3.25,comfort food; hospital food; sweet dessert; warm bread
en,food,joy,emotion,centroid_phrases,neutral_centroid,gemini,qwen3_embedding_8b,10,6,0.42857142857142855,0.6,0.5086680761099365,1.5,comfort food; fresh fruit; hospital food; rotten food; street snack; sweet dessert
en,food,joy,emotion,centroid_phrases,neutral_centroid,mmlw_roberta_large,qwen3_embedding_8b,10,5,0.3333333333333333,0.5,0.10545454545454541,2.6,bread; comfort food; hospital food; restaurant meal; sweet dessert
en,food,joy,emotion,single_word,neutral_centroid,bielik_1_5b_v3,gemini,10,5,0.3333333333333333,0.5,0.12181818181818185,1.6,coffee; comfort food; hospital food; rotten food; salad
en,food,joy,emotion,single_word,neutral_centroid,bielik_1_5b_v3,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.1784090909090909,1.0,comfort food; hospital food; salad
en,food,joy,emotion,single_word,neutral_centroid,bielik_1_5b_v3,qwen3_embedding_8b,10,4,0.25,0.4,0.35693779904306216,1.5,cake; comfort food; hospital food; rotten food
en,food,joy,emotion,single_word,neutral_centroid,gemini,mmlw_roberta_large,10,3,0.17647058823529413,0.3,-0.1832386363636363,1.3333333333333333,comfort food; hospital food; salad
en,food,joy,emotion,single_word,neutral_centroid,gemini,qwen3_embedding_8b,10,7,0.5384615384615384,0.7,0.2580808080808082,3.2857142857142856,bread; cheese; comfort food; fresh fruit; hospital food; rotten food; street snack
