model,language,category,emotion,emotion_strategy,neutral_strategy,bootstrap_iteration,sampled_emotion_terms,sampled_neutral_terms,direction_cosine_to_reference,top_k_jaccard_to_reference,average_similarity_top_k
gemini,en,food,sadness,centroid_phrases,neutral_centroid,1,feeling gloomy; feeling sorrowful; feeling sad,neutral; neutral; neutral; average,0.8785709142684937,0.6666666666666666,0.5267455011606217
gemini,en,food,sadness,centroid_phrases,neutral_centroid,2,feeling sorrowful; feeling gloomy; feeling sad,average; ordinary; ordinary; plain,0.9520211815834045,0.8181818181818182,0.519249650835991
gemini,en,food,sadness,centroid_phrases,neutral_centroid,3,feeling gloomy; feeling gloomy; feeling gloomy,neutral; ordinary; plain; plain,0.8195219039916992,0.6666666666666666,0.48720150589942934
gemini,en,food,sadness,centroid_phrases,neutral_centroid,4,feeling sorrowful; feeling sorrowful; feeling sad,ordinary; average; plain; plain,0.9119866490364075,0.8181818181818182,0.49442473948001864
gemini,en,food,sadness,centroid_phrases,neutral_centroid,5,feeling sorrowful; feeling gloomy; feeling sorrowful,neutral; neutral; average; neutral,0.8524213433265686,0.6666666666666666,0.5178983628749847
gemini,en,food,sadness,centroid_phrases,neutral_centroid,6,feeling sad; feeling gloomy; feeling gloomy,average; neutral; average; ordinary,0.9019431471824646,0.8181818181818182,0.506938436627388
gemini,en,food,sadness,centroid_phrases,neutral_centroid,7,feeling sorrowful; feeling gloomy; feeling sorrowful,plain; neutral; ordinary; plain,0.9105034470558167,1.0,0.5071437537670136
gemini,en,food,sadness,centroid_phrases,neutral_centroid,8,feeling gloomy; feeling sad; feeling gloomy,average; average; neutral; neutral,0.8665381669998169,0.5384615384615384,0.5101587861776352
gemini,en,food,sadness,centroid_phrases,neutral_centroid,9,feeling gloomy; feeling gloomy; feeling sad,neutral; plain; average; neutral,0.9036098718643188,0.6666666666666666,0.5080921113491058
gemini,en,food,sadness,centroid_phrases,neutral_centroid,10,feeling gloomy; feeling sorrowful; feeling sad,neutral; plain; plain; average,0.9623292684555054,0.8181818181818182,0.514062887430191
gemini,en,food,sadness,centroid_phrases,neutral_centroid,11,feeling sorrowful; feeling gloomy; feeling sad,neutral; average; neutral; neutral,0.8785709738731384,0.6666666666666666,0.5267454952001571
gemini,en,food,sadness,centroid_phrases,neutral_centroid,12,feeling gloomy; feeling gloomy; feeling gloomy,neutral; average; average; neutral,0.798869788646698,0.6666666666666666,0.4901679456233978
gemini,en,food,sadness,centroid_phrases,neutral_centroid,13,feeling sad; feeling sorrowful; feeling sad,neutral; neutral; ordinary; ordinary,0.8901324272155762,0.6666666666666666,0.5112157106399536
gemini,en,food,sadness,centroid_phrases,neutral_centroid,14,feeling sad; feeling gloomy; feeling gloomy,neutral; ordinary; ordinary; plain,0.9009696245193481,0.8181818181818182,0.5127752035856247
gemini,en,food,sadness,centroid_phrases,neutral_centroid,15,feeling gloomy; feeling sorrowful; feeling sad,plain; neutral; ordinary; ordinary,0.9543108940124512,0.8181818181818182,0.5238947212696076
gemini,en,food,sadness,centroid_phrases,neutral_centroid,16,feeling gloomy; feeling sad; feeling gloomy,ordinary; plain; average; neutral,0.9473727345466614,0.6666666666666666,0.5062925308942795
